Seconds
75.52
115.51
107.79
32.81
192.84
227.96
128.65
72.17
63.74
97.09
5.35
22.29
176.57
169.07
140.62
52.27
50.06
131.56
14.39
30.52
129.14
229.06
12.57
19.21
39.94
134.67
204.29
315.44
137.96
4.47
109.89
150.35
82.86
47.52
341.79
132.26
191.39
139.84
179.24
93.21
107.62
119.89
18.14
18.47
19.54
164.19
285.56
203.41
196.35
73.47
26.54
62.34
165.24
76.27
113
87.32
205.47
190.42
60.99
111.84
85.81
148.54
16.04
60.84
298.89
90.49
131.79
26.37
114.21
73.7
90.49
6.27
161.47
13.62
145.16
134.35
57.44
5.02
130.69
14.27
80.62
233.7
45.79
72.7
47.12
163.29
38.91
80.77
142.57
140.49
111.09
53.19
98.82
135.37
124.91
32.22
76.06
22.14
43.14
26.57
54.76
104.77
109.09
88.65
43.94
189.24
114.54
8.29
157.16
120.72
62.31
343.86
55.67
156.41
122.22
174.61
157.81
130.29
37.86
119.59
43.84
88.81
68.47
253.86
95.54
161.17
83.84
126.34
133.59
110.79
82.35
136.29
69.7
175.21
23.35
38.91
2.61
126.94
148.69
138.02
110.81
124.84
76.02
172.84
129.87
121.54
37.29
130.81
86.70
36.52
225.35
114.00
19.97
160.24
152.49
59.51
123.04
128.82
68.56
159.32
16.77
140.94
119.04
171.35
114.12
49.37
149.37
112.62
16.79
131.69
32.52
104.99
26.69
71.46
109.64
81.62
190.07
144.89
165.06
269.17
131.37
129.17
142.19
313.39
144.79
152.19
301.94
109.41
67.46
5.64
303.41
187.12
112.26
59.59
16.70
294.72
142.54
347.47
108.41
14.56
62.16
6.89
125.02
284.12
154.04
17.89
68.81
68.87
55.62
51.94
204.42
109.41
309.32
168.62
202.84
279.29
106.81
54.96
143.87
155.74
150.26
83.11
370.29
125.44
37.64
31.49
162.26
122.84
4.64
161.69
15.89
188.96
54.31
45.65
33.42
181.99
287.67
94.84
301.70
139.46
177.09
222.16
302.29
249.65
166.22
252.29
91.27
152.65
53.96
96.09
51.06
63.77
12.19
66.16
18.47
90.12
174.56
106.49
22.54
80.67
109.65
58.24
306.47
54.87
55.19
40.41
29.67
201.57
82.44
79.37
134.94
105.49
115.17
260.31
168.69
47.00
14.24
191.47
229.61
192.27
140.59
220.70
120.04
77.74
105.46
110.72
97.11
14.82
248.06
78.65
70.76
105.97
255.11
109.62
166.24
40.34
51.06
86.70
50.61
10.69
120.19
173.86
386.00
23.32
54.39
120.86
11.24
30.14
141.16
19.22
94.41
72.72
214.29
206.35
189.94
306.22
47.14
148.39
112.09
58.24
90.84
39.74
185.07
67.21
171.09
65.19
6.79
62.14
120.06
308.46
105.27
200.11
7.19
209.97
334.62
148.47
165.16
78.74
10.97
124.62
20.32
190.89
220.41
110.92
107.94
144.37
230.69
109.27
72.76
13.34
150.41
128.56
44.32
104.87
3.77
123.31
297.64
215.67
65.17
22.64
194.69
187.16
157.89
62.46
